CustomerID,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,Segment,Cluster
12346.0,165,11,372.86,2,5,2,252,9,Frequent Buyers,0
12608.0,40,1,415.79,3,1,2,312,6,Others,1
12745.0,122,2,723.85,2,2,3,223,7,Others,1
12746.0,176,1,254.55,2,1,2,212,5,Others,0
12747.0,5,16,5080.53,5,5,5,555,15,Loyal Customers,1
12748.0,1,144,22879.66,5,5,5,555,15,Loyal Customers,2
12749.0,35,4,2806.48,4,4,5,445,13,Loyal Customers,1
12777.0,93,1,519.45,2,1,3,213,6,Others,1
12819.0,94,1,540.52,2,1,3,213,6,Others,1
12820.0,33,7,1747.18,4,5,4,454,13,Loyal Customers,1
12821.0,247,1,128.07999999999998,1,1,1,111,3,Others,0
12823.0,30,13,4742.0,4,5,5,455,14,Loyal Customers,1
12825.0,157,2,518.63,2,2,3,223,7,Others,0
12826.0,1,6,1481.03,5,4,4,544,13,Loyal Customers,1
12829.0,186,1,92.3,1,1,1,111,3,Others,0
12831.0,99,2,236.06,2,2,1,221,5,Others,1
12835.0,63,41,6043.31,3,5,5,355,13,Big Spenders,2
12836.0,25,11,3972.76,4,5,5,455,14,Loyal Customers,1
12837.0,205,1,554.31,1,1,3,113,5,Others,0
12838.0,9,9,2715.35,5,5,5,555,15,Loyal Customers,1
12839.0,3,13,4480.31,5,5,5,555,15,Loyal Customers,1
12840.0,73,3,1315.2,2,3,4,234,9,High Value,1
12841.0,5,17,3518.33,5,5,5,555,15,Loyal Customers,1
12842.0,40,2,799.0,3,2,3,323,8,Others,1
12843.0,18,22,4886.15,4,5,5,455,14,Loyal Customers,1
12844.0,78,2,322.64,2,2,2,222,6,Others,1
12846.0,318,1,15.58,1,1,1,111,3,Others,0
12847.0,23,1,765.36,4,1,3,413,8,Recent Customers,1
12848.0,311,1,208.0,1,1,1,111,3,Others,0
12849.0,17,4,2039.67,4,4,4,444,12,Loyal Customers,1
12850.0,81,1,330.0,2,1,2,212,5,Others,1
12851.0,113,1,148.95,2,1,1,211,4,Others,1
12853.0,63,5,1950.4,3,4,4,344,11,Big Spenders,1
12854.0,197,4,1669.52,1,4,4,144,9,Frequent Buyers,0
12855.0,8,4,612.84,5,4,3,543,12,Recent Engaged,1
12857.0,72,4,2581.6,2,4,5,245,11,Frequent Buyers,1
12858.0,19,1,177.92,4,1,1,411,6,Recent Customers,1
12859.0,94,1,575.1,2,1,3,213,6,Others,1
12860.0,329,1,55.47,1,1,1,111,3,Others,0
12861.0,255,1,68.25,1,1,1,111,3,Others,0
12862.0,61,2,1008.32,3,2,4,324,9,Big Spenders,1
12863.0,15,5,2271.35,5,4,5,545,14,Loyal Customers,1
12864.0,144,1,152.45,2,1,1,211,4,Others,0
12867.0,33,6,3876.47,4,4,5,445,13,Loyal Customers,1
12868.0,9,3,640.0,5,3,3,533,11,Recent Engaged,1
12869.0,317,1,337.67,1,1,2,112,4,Others,0
12870.0,11,3,1676.95,5,3,4,534,12,Recent Engaged,1
12871.0,75,1,363.38,2,1,2,212,5,Others,1
12872.0,1,11,3085.52,5,5,5,555,15,Loyal Customers,1
12873.0,33,2,1653.3,4,2,4,424,10,Big Spenders,1
12875.0,107,3,1013.76,2,3,4,234,9,High Value,1
12877.0,37,8,1419.4,3,5,4,354,12,Big Spenders,1
12880.0,17,2,640.13,4,2,3,423,9,Recent Customers,1
12887.0,19,1,222.4,4,1,1,411,6,Recent Customers,1
12889.0,17,4,385.46,4,4,2,442,10,Recent Engaged,1
12890.0,23,1,336.8,4,1,2,412,7,Recent Customers,1
12891.0,94,8,509.5,2,5,3,253,10,Frequent Buyers,1
12892.0,32,1,263.38,4,1,2,412,7,Recent Customers,1
12894.0,211,1,157.35,1,1,1,111,3,Others,0
12897.0,17,2,297.75,4,2,2,422,8,Recent Customers,1
12898.0,99,2,310.96000000000004,2,2,2,222,6,Others,1
12899.0,49,1,366.4,3,1,2,312,6,Others,1
12900.0,58,1,340.33,3,1,2,312,6,Others,1
12903.0,64,1,833.53,3,1,3,313,7,Others,1
12905.0,212,2,1018.42,1,2,4,124,7,High Value,0
12907.0,31,2,508.91,4,2,3,423,9,Recent Customers,1
12908.0,16,3,1026.0,4,3,4,434,11,Recent Engaged,1
12909.0,60,3,924.52,3,3,3,333,9,Others,1
12910.0,15,5,2721.48,5,4,5,545,14,Loyal Customers,1
12911.0,187,1,1680.47,1,1,4,114,6,High Value,0
12913.0,4,9,4217.2300000000005,5,5,5,555,15,Loyal Customers,1
12914.0,36,1,223.98,4,1,1,411,6,Recent Customers,1
12915.0,8,3,811.1,5,3,3,533,11,Recent Engaged,1
12916.0,78,3,1647.87,2,3,4,234,9,High Value,1
12917.0,36,5,3765.2,4,4,5,445,13,Loyal Customers,1
